tahun,nama_kabkota,jenis_sekolah,jumlah_sekolah,jumlah_guru,jumlah_murid,jumlah_kelas
2011,Kepulauan Seribu,Negeri,0,0,0,0
2011,Kepulauan Seribu,Swasta,1,18,34,3
2011,Jakarta Selatan,Negeri,5,249,2826,82
2011,Jakarta Selatan,Swasta,21,503,2912,93
2011,Jakarta Timur,Negeri,8,349,3585,128
2011,Jakarta Timur,Swasta,21,408,1591,72
2011,Jakarta Pusat,Negeri,1,58,434,14
2011,Jakarta Pusat,Swasta,4,81,353,21
2011,Jakarta Barat,Negeri,6,199,1644,52
2011,Jakarta Barat,Swasta,9,214,1343,48
2011,Jakarta Utara,Negeri,2,65,438,24
2011,Jakarta Utara,Swasta,9,170,598,47
